Week,VOLUME_OF_SALES,ACTUAL_PRICE,COMPETITOR1_PRICE,COMPETITOR2_PRICE,COMPETITOR3_PRICE,COMPETITOR4_PRICE,COMPETITOR5_PRICE,COMPETITOR6_PRICE,COMPETITOR7_PRICE,Promotion A dummy,Promotion B dummy,Promotion C dummy,Promotion D dummy,Promotion E dummy,Week from promotion start,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Promotion A dummy Week 1,Promotion A dummy Week 2,Promotion A dummy Week 3,Promotion A dummy Week 4,Promotion A dummy Week 5,Promotion A dummy Week 6,Promotion A dummy Week 7,Promotion B dummy Week 1,Promotion B dummy Week 2,Promotion B dummy Week 3,Promotion B dummy Week 4,Promotion B dummy Week 5,Promotion B dummy Week 6,Promotion B dummy Week 7,Promotion C dummy Week 1,Promotion C dummy Week 2,Promotion C dummy Week 3,Promotion C dummy Week 4,Promotion C dummy Week 5,Promotion C dummy Week 6,Promotion C dummy Week 7,Promotion D dummy Week 1,Promotion D dummy Week 2,Promotion D dummy Week 3,Promotion D dummy Week 4,Promotion D dummy Week 5,Promotion D dummy Week 6,Promotion D dummy Week 7,Promotion E dummy Week 1,Promotion E dummy Week 2,Promotion E dummy Week 3,Promotion E dummy Week 4,Promotion E dummy Week 5,Promotion E dummy Week 6,Promotion E dummy Week 7,TYPE_OF_PROMOTION_2,DISCOUNT1_ACTUAL_PRICE,BASE1_ACTUAL_PRICE,BASE2_ACTUAL_PRICE_x,DISCOUNT2_ACTUAL_PRICE_x,BASE2_ACTUAL_PRICE_HP_C,BASE2_ACTUAL_PRICE_HP_T,Intercept model 3,Model 3 smoothed volumes,DISCOUNT1_VOLUME_OF_SALES,BASE1_VOLUME_OF_SALES,BASE2_VOLUME_OF_SALES,DISCOUNT2_VOLUME_OF_SALES,Model 3 smoothed volumes filtered,trend,BASE2_ACTUAL_PRICE_HP_T ON PROM,id.1,Competitor1_Price_Impact,Competitor2_Price_Impact,Competitor3_Price_Impact,Competitor4_Price_Impact,Competitor5_Price_Impact,Competitor6_Price_Impact,Price_Diff_1,Price_Diff_2,Price_Diff_3,Price_Diff_4,Price_Diff_5,Price_Diff_6,Price_Relative_Diff__1,Price_Relative_Diff__2,Price_Relative_Diff__3,Price_Relative_Diff__4,Price_Relative_Diff__5,Price_Relative_Diff__6,Price_log_Diff_1,Price_log_Diff_2,Price_log_Diff_3,Price_log_Diff_4,Price_log_Diff_5,Price_log_Diff_6,Unnamed: 0_y,DISCOUNT2_ACTUAL_PRICE_y,BASE2_ACTUAL_PRICE_y,TYPE_COMPETITOR1_PRICE_3,TYPE_COMPETITOR2_PRICE_3,TYPE_COMPETITOR3_PRICE_3,TYPE_COMPETITOR4_PRICE_3,TYPE_COMPETITOR5_PRICE_3,TYPE_COMPETITOR6_PRICE_3,TYPE_COMPETITOR7_PRICE_3,BASE2_COMPETITOR1_PRICE,BASE2_COMPETITOR2_PRICE,BASE2_COMPETITOR3_PRICE,BASE2_COMPETITOR4_PRICE,BASE2_COMPETITOR5_PRICE,BASE2_COMPETITOR6_PRICE,BASE2_COMPETITOR7_PRICE,DISCOUNT2_COMPETITOR1_PRICE,DISCOUNT2_COMPETITOR2_PRICE,DISCOUNT2_COMPETITOR3_PRICE,DISCOUNT2_COMPETITOR4_PRICE,DISCOUNT2_COMPETITOR5_PRICE,DISCOUNT2_COMPETITOR6_PRICE,DISCOUNT2_COMPETITOR7_PRICE,BASE1_COMPETITOR1_PRICE,BASE1_COMPETITOR2_PRICE,BASE1_COMPETITOR3_PRICE,BASE1_COMPETITOR4_PRICE,BASE1_COMPETITOR5_PRICE,BASE1_COMPETITOR6_PRICE,BASE1_COMPETITOR7_PRICE,DISCOUNT1_COMPETITOR1_PRICE,DISCOUNT1_COMPETITOR2_PRICE,DISCOUNT1_COMPETITOR3_PRICE,DISCOUNT1_COMPETITOR4_PRICE,DISCOUNT1_COMPETITOR5_PRICE,DISCOUNT1_COMPETITOR6_PRICE,DISCOUNT1_COMPETITOR7_PRICE,time_from_prev2,time_from_prev_A,time_from_prev_B,time_from_prev_C,time_from_prev_D,time_from_prev_E,LAST_DISCOUNT,VOLUME_LAG1,VOLUME_LAG2,VOLUME_LAG3,VOLUME_AVGLAG2,VOLUME_AVGLAG3,BASE2_ACTUAL_PRICE_PROM,VOLUMES_LAST_PROM,TIME_LAST_PROM,AVG_VOL_LAST_PROM,COMPETITORS,COMP_1_only,COMP_2_only,COMP_2,COMP_3,COMP_4,COMP_5,COMP_6,COMP_7
1,103188,1.011,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.011,1.011,0,0.007160854,1.003839146,70351.17905,103188,0,103188,103188,0,103188,94512.94031,1.011,0,0,0,0,0,0,0,0.337,1.011,1.011,1.011,1.011,1.011,0.5,0,0,0,0,0,0.405465108,0,0,0,0,0,0,0,1.011,1,0,0,0,0,0,0,0.692114393,0,0,0,0,0,0,0.026172542,0,0,0,0,0,0,0.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,91748,96119,97018,93933,94962,0,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
2,93420,1.003,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003,1.003,0,-0.001028771,1.004028771,71172.49877,93420,0,93420,93420,0,93420,85619.93099,1.003,1,-0.642610037,0,0,0,0,0,0.288,1.003,1.003,1.003,1.003,1.003,0.402797203,0,0,0,0,0,0.338468245,0,0,0,0,0,1,0,1.003,0,0,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,103188,91748,96119,97468,97018,0,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
3,78636,0.99,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0.99,0,-0.014934482,1.004934482,72507.14331,78636,0,78636,78636,0,78636,77594.42765,0.99,2,0.070702025,0,0,0,0,0,0.283,0.99,0.99,0.99,0.99,0.99,0.400282885,0,0,0,0,0,0.336674277,0,0,0,0,0,2,0,0.99,0,0,0,0,0,0,0,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,93420,103188,91748,98304,96119,0,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
4,36840,0.955,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955,0.955,0,-0.052169487,1.007169487,76100.41707,36840,0,36840,36840,0,36840,72083.94314,0.955,3,0.010644549,0,0,0,0,0,0.252,0.955,0.955,0.955,0.955,0.955,0.358463727,0,0,0,0,0,0.306354449,0,0,0,0,0,3,0,0.955,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,78636,93420,103188,86028,91748,0,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
5,74880,1.072,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.072,1.072,0,0.062146454,1.009853546,64088.61622,74880,0,74880,74880,0,74880,70840.14757,1.072,4,0.011020817,0,0,0,0,0,0.361,1.072,1.072,1.072,1.072,1.072,0.507735584,0,0,0,0,0,0.410608912,0,0,0,0,0,4,0,1.072,0,0,0,0,0,0,0,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,36840,78636,93420,57738,69632,0,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
6,175800,0.784,0.667,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.220830849,1.0062,1.039,0.245428296,0.032110531,1.006889469,70773.18655,66948.65515,-1.271529134,77392.8,74862,-1.34832091,72090.31674,72090.31674,1.006889469,5,-0.045916806,0,0,0,0,0,0.117,0.784,0.784,0.784,0.784,0.784,0.175412294,0,0,0,0,0,0.161618974,0,0,0,0,0,5,0.221364386,1.006889469,1,0,0,0,0,0,0,0.707033787,0,0,0,0,0,0,0.05662217,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0.059238364,0,0,0,0,0,0,0,0,0,0,0,0,0.202849465,74880,36840,78636,55860,63452,-0.255,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
7,170928,0.758,0.622,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.246670642,1.0062,1.006,0.246520875,0.007605285,0.998394715,71645.30023,103363.9559,-1.208577542,77392.8,74844,-1.283790284,74465.71167,74465.71167,0.998394715,6,2.434435492,0,0,0,0,0,0.136,0.758,0.758,0.758,0.758,0.758,0.218649518,0,0,0,0,0,0.197743293,0,0,0,0,0,6,0.240781237,0.998394715,1,0,0,0,0,0,0,0.703573339,0,0,0,0,0,0,0.115941487,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0.122708039,0,0,0,0,0,0,1,1,0,0,0,0,0.202849465,175800,74880,36840,125340,95840,-0.248,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
8,84936,0.879,0.673,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.126416219,1.0062,0.973,0.096608428,-0.014697792,0.987697792,72743.49944,56262.44847,-0.097466431,77392.8,74826,-0.135113463,76083.42726,76083.42726,0.987697792,7,-0.16298024,0,0,0,0,0,0.206,0.879,0.879,0.879,0.879,0.879,0.306092125,0,0,0,0,0,0.267039568,0,0,0,0,0,7,0.11005167,0.987697792,1,0,0,0,0,0,0,0.697913436,0,0,0,0,0,0,0.035697029,0,0,0,0,0,0,0.709,0,0,0,0,0,0,0.05077574,0,0,0,0,0,0,1,1,0,0,0,0,0.240781237,170928,175800,74880,173364,140536,-0.094,156378.6667,3,52126.22222,1,1,0,0,0,0,0,0,0
9,74808,0.94,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.94,0,-0.038887739,0.978887739,77640.39153,74808,0,74808,74808,0,74808,77950.38278,0.94,8,-0.348908122,0,0,0,0,0,0.239,0.94,0.94,0.94,0.94,0.94,0.340941512,0,0,0,0,0,0.293371988,0,0,0,0,0,8,0,0.94,0,0,0,0,0,0,0,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.240781237,84936,170928,175800,127932,143888,0,207132,3,69044,1,1,0,0,0,0,0,0,0
10,96288,0.959,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959,0.959,0,-0.015583815,0.974583815,75689.75721,96288,0,96288,96288,0,96288,79091.39968,0.959,9,-0.168917508,0,0,0,0,0,0.292,0.959,0.959,0.959,0.959,0.959,0.437781109,0,0,0,0,0,0.363101029,0,0,0,0,0,9,0,0.959,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.240781237,74808,84936,170928,79872,110224,0,207132,3,69044,1,1,0,0,0,0,0,0,0
